image_name,condition
0_1.jpg,0
0_11 copy.jpg,0
0_11.jpg,0
0_12.jpg,0
0_13.jpg,0
0_16.jpg,0
0_17.jpg,0
0_18.jpg,0
0_19.jpg,0
0_20.jpg,0
0_22.jpg,0
0_23.jpg,0
0_24.jpg,0
0_26.jpg,0
0_3.jpg,0
0_4.jpg,0
0_5.jpg,0
0_6.jpg,0
0_7.jpg,0
0_8.jpg,0
0_9.jpg,0
101_4_0.jpg,101
103_4_1.jpg,103
10_10.jpg,10
10_2.jpg,10
10_8.jpg,10
155_1_0.jpg,155
157_1_2.jpg,157
160_1_5.jpg,160
161_1_6.jpg,161
163_1_9.jpg,163
165_1_10.jpg,165
166_1_11.jpg,166
169_1_14.jpg,169
170_1_15.jpg,170
174_1_19.jpg,174
176_1_21.jpg,176
177_1_22.jpg,177
178_1_23.jpg,178
180_1_25.jpg,180
182_1_27.jpg,182
184_1_30.jpg,184
192_1_38.jpg,192
194_1_39.jpg,194
195_1_41.jpg,195
196_1_40.jpg,196
197_1_42.jpg,197
1_0.jpg,1
1_11.jpg,1
1_12.jpg,1
1_17.jpg,1
1_22.jpg,1
1_29.jpg,1
1_30.jpg,1
1_32.jpg,1
1_34.jpg,1
1_36.jpg,1
1_40.jpg,1
1_42.jpg,1
1_44.jpg,1
1_5.jpg,1
1_9.jpg,1
2_1 copy.jpg,2
2_1.jpg,2
2_11 copy.jpg,2
2_11.jpg,2
2_12.jpg,2
2_14.jpg,2
2_15.jpg,2
2_17.jpg,2
2_18.jpg,2
2_19.jpg,2
2_20.jpg,2
2_22.jpg,2
2_28.jpg,2
2_29.jpg,2
2_3 copy.jpg,2
2_3.jpg,2
2_30.jpg,2
2_31.jpg,2
2_39.jpg,2
2_4.jpg,2
2_44.jpg,2
2_47.jpg,2
2_48.jpg,2
2_54.jpg,2
2_56.jpg,2
2_57.jpg,2
2_59.jpg,2
2_6.jpg,2
2_8.jpg,2
3_0.jpg,3
3_1 copy.jpg,3
3_1.jpg,3
3_11 copy.jpg,3
3_11.jpg,3
3_13.jpg,3
3_15.jpg,3
3_16.jpg,3
3_2.jpg,3
3_22.jpg,3
3_25.jpg,3
3_3 copy.jpg,3
3_3.jpg,3
3_30.jpg,3
3_4 copy.jpg,3
3_4.jpg,3
3_5.jpg,3
3_6 copy.jpg,3
3_6.jpg,3
3_8.jpg,3
3_9 copy.jpg,3
3_9.jpg,3
4_1.jpg,4
4_11.jpg,4
4_12.jpg,4
4_13.jpg,4
4_14.jpg,4
4_16 copy.jpg,4
4_16.jpg,4
4_17.jpg,4
4_18 copy.jpg,4
4_18.jpg,4
4_19.jpg,4
4_21 copy.jpg,4
4_21.jpg,4
4_22.jpg,4
4_24.jpg,4
4_31.jpg,4
4_32.jpg,4
4_33.jpg,4
4_40.jpg,4
4_48.jpg,4
4_5.jpg,4
4_51.jpg,4
4_55.jpg,4
4_59.jpg,4
4_60.jpg,4
4_63.jpg,4
4_68.jpg,4
4_69.jpg,4
4_7.jpg,4
4_71.jpg,4
4_72.jpg,4
4_77.jpg,4
4_79.jpg,4
4_8.jpg,4
4_9.jpg,4
5_0.jpg,5
5_10.jpg,5
5_11.jpg,5
5_12.jpg,5
5_17.jpg,5
5_18.jpg,5
5_2.jpg,5
5_21.jpg,5
5_4.jpg,5
5_6.jpg,5
5_7.jpg,5
5_8.jpg,5
6_0.jpg,6
6_1.jpg,6
6_11 copy.jpg,6
6_11.jpg,6
6_13.jpg,6
6_14.jpg,6
6_15.jpg,6
6_16.jpg,6
6_18.jpg,6
6_2.jpg,6
